user_id,transaction_date,order_id,order_revenue
41474740.1017155695,2020-11-21,233993,452.0
70274582.7964868916,2020-11-21,898715,185.0
70274582.7964868916,2020-11-21,898715,185.0
6488582.8788491425,2020-11-21,612470,161.0
6488582.8788491425,2020-11-21,612470,161.0
9134268.2677185739,2020-11-21,628726,149.0
9134268.2677185739,2020-11-21,628726,149.0
5039183135.2699720432,2020-11-21,835113,120.0
5039183135.2699720432,2020-11-21,835113,120.0
52083507.8774663935,2020-11-21,649019,76.0
52083507.8774663935,2020-11-21,649019,76.0
18977884.9487126016,2020-11-21,828200,70.0
18977884.9487126016,2020-11-21,828200,70.0
1052482.1904194731,2020-11-21,764118,64.0
1052482.1904194731,2020-11-21,764118,64.0
4231038.0723891741,2020-11-21,784752,60.0
4231038.0723891741,2020-11-21,784752,60.0
8292508.2728920265,2020-11-21,872925,50.0
8292508.2728920265,2020-11-21,872925,50.0
9397545.7933031135,2020-11-21,955064,49.0
9397545.7933031135,2020-11-21,955064,49.0
3442489.8686924691,2020-11-21,517948,48.0
3442489.8686924691,2020-11-21,517948,48.0
80312544.1441597452,2020-11-21,601633,47.0
80312544.1441597452,2020-11-21,601633,47.0
1549372.9570751941,2020-11-21,420249,46.0
1549372.9570751941,2020-11-21,420249,46.0
1685178.0670336190,2020-11-21,737710,46.0
1685178.0670336190,2020-11-21,737710,46.0
3526931.3784502135,2020-11-21,603818,46.0
3526931.3784502135,2020-11-21,603818,46.0
4928525.8378184452,2020-11-21,312135,46.0
4928525.8378184452,2020-11-21,312135,46.0
77283283.8065996514,2020-11-21,881149,44.0
77283283.8065996514,2020-11-21,881149,44.0
72370889.4274312461,2020-11-21,75741,42.0
72370889.4274312461,2020-11-21,75741,42.0
24178523.2626897351,2020-11-21,504824,39.0
24178523.2626897351,2020-11-21,504824,39.0
54050361.8478898304,2020-11-21,913246,34.0
54050361.8478898304,2020-11-21,913246,34.0
2459609.1421753209,2020-11-21,315721,33.0
2459609.1421753209,2020-11-21,315721,33.0
90326169.4943785433,2020-11-21,740905,30.0
90326169.4943785433,2020-11-21,740905,30.0
7305312.0773204883,2020-11-21,233982,28.0
7305312.0773204883,2020-11-21,233982,28.0
8337415.6051453076,2020-11-21,873803,28.0
8337415.6051453076,2020-11-21,873803,28.0
6027887.5211064946,2020-11-21,622638,28.0
6027887.5211064946,2020-11-21,622638,28.0
29060616.4029163657,2020-11-21,235332,26.0
29060616.4029163657,2020-11-21,235332,26.0
4375573.9072744837,2020-11-21,989866,25.0
4375573.9072744837,2020-11-21,989866,25.0
3868899112.4128253975,2020-11-21,359008,24.0
3868899112.4128253975,2020-11-21,359008,24.0
39882887.2837298291,2020-11-21,554408,23.0
39882887.2837298291,2020-11-21,554408,23.0
56660152.7616232682,2020-11-21,402328,22.0
56660152.7616232682,2020-11-21,402328,22.0
77276609.4416542415,2020-11-21,224128,14.0
77276609.4416542415,2020-11-21,224128,14.0
8693458.9667648603,2020-11-21,526177,13.0
8693458.9667648603,2020-11-21,526177,13.0
13141816.1294900403,2020-11-20,962117,340.0
13141816.1294900403,2020-11-20,962117,340.0
26064119.0281069258,2020-11-20,860962,339.0
26064119.0281069258,2020-11-20,860962,339.0
30220372.7620678894,2020-11-20,37138,323.0
30220372.7620678894,2020-11-20,37138,323.0
8156646657.1507119761,2020-11-20,115469,254.0
8156646657.1507119761,2020-11-20,115469,254.0
30675676.3150878065,2020-11-20,631998,212.0
30675676.3150878065,2020-11-20,631998,212.0
38420537.7216639441,2020-11-20,963004,177.0
38420537.7216639441,2020-11-20,963004,177.0
39602761.4128729087,2020-11-20,533242,149.0
39602761.4128729087,2020-11-20,533242,149.0
5607144.6246327246,2020-11-20,506525,142.0
5607144.6246327246,2020-11-20,506525,142.0
6445892.8785219212,2020-11-20,259272,142.0
6445892.8785219212,2020-11-20,259272,142.0
8263478975.0153803823,2020-11-20,725226,130.0
8263478975.0153803823,2020-11-20,725226,130.0
22222567.3132315095,2020-11-20,107043,118.0
22222567.3132315095,2020-11-20,107043,118.0
61577291.2144566004,2020-11-20,983059,106.0
61577291.2144566004,2020-11-20,983059,106.0
3578162.0623899917,2020-11-20,809030,99.0
3578162.0623899917,2020-11-20,809030,99.0
5674547.8008141064,2020-11-20,609087,89.0
5674547.8008141064,2020-11-20,609087,89.0
7453835.7513761923,2020-11-20,659515,88.0
7453835.7513761923,2020-11-20,659515,88.0
75611414.7949596702,2020-11-20,125750,88.0
75611414.7949596702,2020-11-20,125750,88.0
24164594.4598368539,2020-11-20,312821,84.0
24164594.4598368539,2020-11-20,312821,84.0
3041494.0908353891,2020-11-20,455806,82.0
3041494.0908353891,2020-11-20,455806,82.0
77461948.4804221368,2020-11-20,118835,76.0
77461948.4804221368,2020-11-20,118835,76.0
6672635860.5383572535,2020-11-20,333223,71.0
6672635860.5383572535,2020-11-20,333223,71.0
52565912.2309852051,2020-11-20,474182,68.0
52565912.2309852051,2020-11-20,474182,68.0
11064650.6068648711,2020-11-20,407708,64.0
11064650.6068648711,2020-11-20,407708,64.0
4707239.1008432127,2020-11-20,128230,60.0
