user_id,lifetime_value,source,medium,campaign
17092913.6445812691,278.0,<Other>,<Other>,<Other>
1033085.6917088117,712.0,<Other>,<Other>,<Other>
65608889.8290462049,279.0,google,organic,(organic)
66572919.0070303795,204.0,(direct),(none),(direct)
4116825.4321746815,240.0,google,organic,(organic)
79437846.7966348856,251.0,(direct),(none),(direct)
5244179.4867323211,362.0,google,organic,(organic)
13756133.7762491194,384.0,(direct),(none),(direct)
33534334.2982237665,618.0,shop.googlemerchandisestore.com,referral,(referral)
54019036.7189560758,490.0,(direct),(none),(direct)
1164842.6741102569,271.0,<Other>,<Other>,<Other>
2278219.0388083386,784.0,google,organic,(organic)
89140417.9002672475,480.0,shop.googlemerchandisestore.com,referral,(referral)
48981361.3028514075,299.0,(direct),(none),(direct)
2541331.2931528712,311.0,(direct),(none),(direct)
5305452.1871311002,277.0,google,organic,(organic)
6643240028.3907368685,255.0,shop.googlemerchandisestore.com,referral,(referral)
7477637.2776014049,216.0,google,organic,(organic)
87666696.5302025907,427.0,(direct),(none),(direct)
42583182.3977693374,205.0,(direct),(none),(direct)
5039183135.2699720432,240.0,google,organic,(organic)
6488582.8788491425,322.0,<Other>,referral,(referral)
40810614.6993876384,656.0,(direct),(none),(direct)
28750238.4461447574,224.0,google,organic,(organic)
1395824.1622992884,220.0,(direct),(none),(direct)
6006118.2429897577,245.0,google,organic,(organic)
80825724.4005939752,266.0,google,organic,(organic)
49288108.7792907743,325.0,google,organic,(organic)
7275494.7811178530,252.0,<Other>,<Other>,<Other>
53406211.8724008214,460.0,(direct),(none),(direct)
5674547.8008141064,202.0,google,organic,(organic)
44948793.1646090451,262.0,(data deleted),(data deleted),(data deleted)
1793657.4173240079,386.0,google,organic,(organic)
2566418.5535518831,865.0,<Other>,<Other>,<Other>
1561271.7182118121,290.0,<Other>,<Other>,<Other>
5820525.4112921353,248.0,<Other>,referral,(referral)
2355616.9460032382,280.0,(direct),(none),(direct)
74016002.6019650209,240.0,<Other>,<Other>,<Other>
25633378.1133836718,294.0,google,organic,(organic)
81632350.4358345762,210.0,google,organic,(organic)
1605564.2171778452,268.0,google,organic,(organic)
8083450.3844124226,1404.0,google,organic,(organic)
33234318.3224761950,287.0,google,organic,(organic)
5370675.2157971187,247.0,<Other>,<Other>,<Other>
7019543.7153257093,708.0,(direct),(none),(direct)
81335886.8473727587,336.0,google,cpc,<Other>
1534773.3101496826,236.0,(data deleted),(data deleted),(data deleted)
32820105.2111076078,386.0,shop.googlemerchandisestore.com,referral,(referral)
78710713.2392067740,246.0,<Other>,<Other>,<Other>
