user_id,absolute_purchase_count,average_order_value
79173479.1654218830,2,44.0
8365874158.6584635135,2,44.0
2242838.1990850485,2,44.0
8935186924.5167433612,2,43.5
17494077.2658372366,2,43.5
1989999900.3723615330,2,43.0
42372741.7725745796,2,42.5
67165994.3239573530,2,42.5
11963630.4081960728,2,42.5
46713699.8088713367,2,42.0
11677998.3685150844,2,41.5
76282145.6467825759,2,41.5
54818265.6577214045,2,41.5
81507474.7124670126,2,41.5
13285520.2959269878,2,41.5
83122453.5394732985,2,41.0
1513222.1542392261,2,40.5
66722347.8983163223,2,40.5
11105025.0713455496,2,39.5
377360457.8254199418,2,39.5
43627350.3807676886,2,39.33
5817047.8350669320,2,38.5
59061039.5435612071,2,38.5
17600486.2275967341,2,38.0
3237193.2779307989,2,38.0
2028522.0201942206,2,37.5
2663381.1128244448,2,37.5
73039691.3592091634,2,37.5
1491753.9250182150,2,37.0
73744073.0825120998,2,37.0
82102048.1975466467,2,36.0
3604692.1743563681,2,35.5
26105678.1036002654,2,35.0
83812359.6098055338,2,35.0
47832970.6690268280,2,35.0
5237397.7064940983,2,34.5
21242720.7094333523,2,34.0
1706011.8461395358,2,33.67
8633002.3339270787,2,33.5
2476173.9104747305,2,33.0
6149654.3757607604,2,33.0
21212846.2865668337,2,33.0
84733987.1998752292,2,32.5
1279595.7348368743,2,32.0
6775372.4463471076,2,32.0
2113325.1940945017,2,32.0
24070954.9186532223,2,32.0
88662111.3937031291,2,31.33
2132209.9029962354,2,31.0
8643281.5509657561,2,31.0
2221352.0772999791,2,30.5
2941370.9700661406,2,30.5
58735415.2475008019,2,30.0
4296769.0350898725,2,30.0
4970125.1163716142,2,30.0
4335558.7768891561,2,30.0
21679259.2288048672,2,29.5
74635951.8097844533,2,29.5
5671461926.8532720409,2,29.0
5704909.7519367722,2,28.0
7195542.3513817232,2,27.5
6743101.4280021996,2,27.5
26045316.6076625887,2,27.5
37657350.9876173824,2,27.5
88260882.4631526417,2,27.5
6027887.5211064946,2,27.33
30994156.8515094824,2,26.5
9614593.5321513152,2,26.5
42813245.4172486522,2,26.0
20037471.8988089326,2,26.0
30199985.4509664101,2,25.0
70092642.2710325772,2,24.5
1818844.4617980620,2,24.5
7752642.5155419861,2,24.5
88125518.8306270972,2,24.33
3486854476.9405742384,2,24.0
87047667.1042912591,2,24.0
2582683.5950078298,2,24.0
6392078.0886402403,2,24.0
2097946.4286419562,2,24.0
2387737.8440654529,2,24.0
6086858.9440406777,2,23.5
51848909.4124639592,2,23.0
3680421.4213771360,2,23.0
1336541.8089767254,2,22.67
28182246.9243158427,2,22.5
59440318.5200475785,2,22.0
90591201.2047859379,2,22.0
93790140.2924262721,2,21.5
1451078.8215732025,2,21.5
3730938.2489234023,2,21.0
59728514.6794390622,2,21.0
1120390.5481159886,2,20.0
8280658.3204517423,2,20.0
31450884.9129417592,2,19.5
4769532.2724009973,2,19.5
85684311.8708196319,2,19.0
1996506.7082614036,2,19.0
62972640.1817910937,2,19.0
50900904.6507728330,2,18.67
7742237.5794101746,2,18.0
2151615.4640508633,2,17.5
86241653.8282757080,2,17.5
8174650.3231261607,2,16.0
8893175.3937909394,2,16.0
8947475.8090315077,2,16.0
7794073.9916956251,2,16.0
5550109.1370911778,2,16.0
30327434.6405100575,2,16.0
7054156.8209924713,2,15.5
68234443.7976288983,2,15.5
3111676283.5909814874,2,15.0
50131723.8552639593,2,15.0
83240333.3705200960,2,15.0
19492128.7016911946,2,13.5
6724688.1020387197,2,12.0
47731614.5840289942,2,11.33
18829536.8717481088,2,10.5
2291182.3518179459,2,10.5
16742325.1460084940,2,10.5
17321543.6104652631,2,10.0
21683663.4440188892,2,10.0
5798842.3922639602,2,9.0
56085302.1633432749,2,8.5
3701512.7921503812,2,8.0
8269107.5312843213,2,8.0
43167694.9021346768,2,8.0
3297728.5602497021,2,7.0
1650778.5848737470,2,6.0
67251653.8910982513,2,6.0
4141515.9985248683,2,4.0
81036435.1157569602,1,1530.0
7134559299.4601048201,1,1200.0
12306432.7939489449,1,1170.0
51248671.8133898155,1,998.0
2566418.5535518831,1,865.0
39388951.3688006674,1,806.0
2278219.0388083386,1,784.0
1033085.6917088117,1,712.0
1532927.6404323781,1,683.0
6822684.1627482502,1,671.0
40810614.6993876384,1,656.0
87100826.2061583108,1,605.0
5766379.6658996628,1,600.0
48879002.2084859201,1,588.0
37930099.3763917539,1,576.0
18210686.3272655150,1,551.0
27071010.1715411752,1,525.0
3938933.9449134391,1,522.0
50054690.0206427992,1,518.0
45732822.6958771748,1,514.0
84288512.1820202145,1,484.0
89140417.9002672475,1,480.0
